Prueba Producto,Producto1,Producto,25000,25000,40000,1,Negro,Plástico
000,sin marca,Producto,0,0,0,1,.,.
BifocalktoAr,Bifocal kto con anti reflejo,Cristal,0,0,300000,1,blanco,organico
Multi Digital,Multifocal Digital,Cristal,850000,0,1300000,1,blanco,organico
32134,Armazon 144,Producto,0,0,100000,1,0,0
ISA22004,Armazon 57-16,Producto,0,0,100000,1,0,0
Propio,Armazon Propio,Producto,0,0,100000,1,0,0
Blue,Monofocal Blue Light cut ,Cristal,0,0,100000,1,"",""
8999,Armazon Betania 53-18,Producto,0,0,150000,1,0,0
1906C1,CUADRADO DAMA CAL 52/15-138,Producto,35000,0,270000,5,NEGRO,TR90
111,ARMAZÓN PROPIO,Producto,0,0,0,1,.,.
FRANCISCA ,ARMAZÓN DE FRANCISCA ,Producto,0,0,0,1,GENERICO,GENERICO
hexa,Hexagonal de plastico,Producto,0,0,100000,1,0,0
Sin registro,sin registro,Producto,0,0,100000,1,0,0
MonoOrganicoBlanco,Monofocal Organico Blanco,Cristal,0,0,100000,1,0,Organico
BifocalBlancoKTO,Bifocal Blanco KTO,Cristal,0,0,150000,1,0,Organico
BifocalBlancoST,Bifocal Blanco ST,Cristal,0,0,180000,1,0,Organico
MultifocalStandar,Multifocal Standar con uvx,Cristal,0,0,280000,1,0,Organico
Multifocal Standar AR,Multifocal Standar AntiReflejo,Cristal,0,0,320000,1,0,Organico
Multifocal Standar Blue,Multifocal Standar Blue,Cristal,0,0,450000,1,0,Organico
Bifocal Kto FotoCromatico,Bifocal Kto Fotocromatico blanco,Cristal,0,0,480000,1,0,Organico
Bifocal Kto Fotocromatico AR,Bifocal Kto Fotocromatico Antireflejo,Cristal,0,0,650000,1,0,Organico
Multifocal Standar fotoblanco,Multifocal Standar Fotocromatico Blanco,Cristal,0,0,500000,1,0,Organico
Multifocal Standar FotoAR,Multifocal Standar Fotocromatico Antireflejo,Cristal,0,0,700000,1,0,Organico
Multifocal Solamax,Multifocal Solamax Blanco,Cristal,0,0,480000,1,0,Organico
Multifocal Solamax Antireflejo,Multifocal Solamax Antireflejo,Cristal,0,0,850000,1,0,Organico
H2033C612,ARMAZON TRANSPARENTE CAL. 51-16/135,Producto,80000,80000,280000,2,TRANSPARENTE,ACETATO
isa19031,Armazon aro completo,Producto,0,0,100000,1,c3,acetato
yy6105,Armazon 53-17,Producto,0,0,100000,1,0,0
6659,Armazon 54-16,Producto,0,0,100000,1,0,0
Monofotoblue,Monofocal fotocromatico bluefilter,Cristal,0,0,225000,1,0,Organico
MonoFotoAr,Monofocal Fotocromatico Antireflejo,Cristal,0,0,150000,1,0,Organico
MonoAntireflejo,Monfocal Antireflejo,Cristal,0,0,75000,1,0,Organico
1302,Armazon Altania 49-16,Producto,0,0,180000,15,0,0
