"id_permission","name_permission","descr_permission"
1,"FichaMain","Ventana de Ficha de Clientes"
2,"FichaCreate","Crear Ficha de Clientes"
3,"FichaEdit","Editar Ficha de Clientes"
4,"FichaNull","Anular Ficha de Clientes"
5,"FichaClose","Cerrar Ficha de Clientes"
6,"CliMain","Ventana de Clientes"
7,"CliCreate","Crear de Cliente"
8,"CliEdit","Editar Cliente"
9,"CliDelete","Eliminar Cliente"
10,"CliList","Listar Clientes"
11,"ArtMain","Ventana de Artículos"
12,"ArtCreate","Crear Artículo"
13,"ArtEdit","Editar Artículo"
14,"ArtDelete","Eliminar Artículo"
15,"ArtList","Listar Artículos"
16,"StockMain","Ventana de Stock de Artículos"
17,"StockAdd","Añadir Stock"
18,"StockRemove","Restar Stock"
19,"StockList","Listar Stock de Artículos"
20,"CityMain","Ventana de Ciudades"
21,"CityCreate","Crear Ciudad"
22,"CityEdit","Editar Ciudad"
23,"CityDelete","Eliminar Ciudad"
24,"CityList","Listar Ciudades"
25,"BrandMain","Ventana de Marcas"
26,"BrandCreate","Crear Marca"
27,"BrandEdit","Editar Marca"
28,"BrandDelete","Eliminar Marca"
29,"BrandList","Listar Marcas"
30,"PayMain","Ventana de Métodos de Pago"
31,"PayCreate","Crear Método de Pago"
32,"PayEdit","Editar Método de Pago"
33,"PayDelete","Eliminar Método de Pago"
34,"PayList","Listar Métodos de Pago"
35,"UserMain","Ventana de Usuarios"
36,"UserCreate","Crear Usuario"
37,"UserEdit","Editar Usuario"
38,"UserDelete","Eliminar Usuario"
39,"UserOnOff","Activar-Inactivar Usuarios"
40,"UserChangePass","Cambiar Contraseña"
41,"ReportFicha","Reporte de Ficha de Cliente"
42,"ReportSales","Resumen de Ventas"
43,"ReportStock","Reporte de Existencia de Stock"
